Net Status Report
Filename     : C:\Users\040602\Desktop\PRJ-US1SBC (11-13-2018 2-40-42 PM)_1\PWB-US1SBC.PcbDoc
Date         : 3/20/2019
Time         : 2:32:15 PM
Time Elapsed : 00:00:01

Nets, Layer, Length
    +0.4Vref, Signal Layers Only, 225.303mils
    +0V85_FB1, Signal Layers Only, 436.428mils
    +0V85_FB2, Signal Layers Only, 366.562mils
    +0V85_FB3, Signal Layers Only, 340.889mils
    +1V1_FB, Signal Layers Only, 265.199mils
    +1V2_FB, Signal Layers Only, 288.615mils
    +1V2_FB3, Signal Layers Only, 88.603mils
    +1V8_FB1, Signal Layers Only, 373.406mils
    +1V8_FB2, Signal Layers Only, 282.765mils
    +3.3V, Signal Layers Only, 5139.687mils
    +3V3_D, Signal Layers Only, 67.527mils
    +3V3_DP, Signal Layers Only, 2968.347mils
    +3V3_FB, Signal Layers Only, 102.969mils
    +3V3_PRI, Signal Layers Only, 2081.395mils
    +3V3_VCFB, Signal Layers Only, 397.096mils
    +5.0V, Signal Layers Only, 5685.258mils
    +5V_FB, Signal Layers Only, 394.431mils
    +BOOT1_A, Signal Layers Only, 78.835mils
    +BOOT1_B, Signal Layers Only, 78.936mils
    +BOOT1_C, Signal Layers Only, 58.623mils
    +BOOT1_D, Signal Layers Only, 44.571mils
    +BOOT2_A, Signal Layers Only, 78.835mils
    +BOOT2_B, Signal Layers Only, 78.936mils
    +BOOT2_C, Signal Layers Only, 53.526mils
    +BOOT2_D, Signal Layers Only, 41.192mils
    +MGTRAVCC, Signal Layers Only, 595.912mils
    +MGTRAVTT, Signal Layers Only, 556.046mils
    +SW1_A, Signal Layers Only, 0mils
    +SW1_B, Signal Layers Only, 0mils
    +SW1_C, Signal Layers Only, 0mils
    +SW1_D, Signal Layers Only, 0mils
    +SW2_A, Signal Layers Only, 0mils
    +SW2_B, Signal Layers Only, 0mils
    +SW2_C, Signal Layers Only, 0mils
    +SW2_D, Signal Layers Only, 0mils
    +USB_VB, Signal Layers Only, 225.576mils
    +VCCAUX, Signal Layers Only, 1175.695mils
    +VCCINT, Signal Layers Only, 1823.685mils
    +VCCO_HP, Signal Layers Only, 6360.202mils
    +VCCO_PSDDR, Signal Layers Only, 5026.049mils
    +VCC_PSAUX, Signal Layers Only, 9156.792mils
    +VCC_PSINTFP, Signal Layers Only, 1000.713mils
    +VCC_PSINTLP, Signal Layers Only, 724.248mils
    +VCC_PSPLL, Signal Layers Only, 932.025mils
    +VIN, Signal Layers Only, 3741.864mils
    +VSYS_IN, Signal Layers Only, 1289.388mils
    3RX_N, Signal Layers Only, 247.113mils
    3RX_P, Signal Layers Only, 245.975mils
    3TX_N, Signal Layers Only, 230.658mils
    3TX_P, Signal Layers Only, 229.519mils
    BT_HCI_CTS, Signal Layers Only, 2317.653mils
    BT_HCI_RTS, Signal Layers Only, 2440.998mils
    CSI0_C_N, Signal Layers Only, 643.57mils
    CSI0_C_P, Signal Layers Only, 645.395mils
    CSI0_D0_N, Signal Layers Only, 647.9mils
    CSI0_D0_P, Signal Layers Only, 646.053mils
    CSI0_D1_N, Signal Layers Only, 647.028mils
    CSI0_D1_P, Signal Layers Only, 646.618mils
    CSI0_D2_N, Signal Layers Only, 643.557mils
    CSI0_D2_P, Signal Layers Only, 640.707mils
    CSI0_D3_N, Signal Layers Only, 648.997mils
    CSI0_D3_P, Signal Layers Only, 648.209mils
    CSI0_MCLK, Signal Layers Only, 775.404mils
    CSI1_C_N, Signal Layers Only, 1031.366mils
    CSI1_C_P, Signal Layers Only, 1029.855mils
    CSI1_D0_N, Signal Layers Only, 1060.175mils
    CSI1_D0_P, Signal Layers Only, 1059.584mils
    CSI1_D1_N, Signal Layers Only, 1066.507mils
    CSI1_D1_P, Signal Layers Only, 1065.833mils
    CSI1_MCLK, Signal Layers Only, 1032.269mils
    DDR_ODT, Signal Layers Only, 435.26mils
    DPAUX_C_N, Signal Layers Only, 845.675mils
    DPAUX_C_P, Signal Layers Only, 831.846mils
    DP_HPD_LS, Signal Layers Only, 307.475mils
    DP_RE_N, Signal Layers Only, 1296.229mils
    DSI_CLK_N, Signal Layers Only, 700.64mils
    DSI_CLK_P, Signal Layers Only, 700.279mils
    DSI_D0_N, Signal Layers Only, 607.824mils
    DSI_D0_P, Signal Layers Only, 607.824mils
    DSI_D1_N, Signal Layers Only, 722.096mils
    DSI_D1_P, Signal Layers Only, 723.897mils
    DSI_D2_N, Signal Layers Only, 487.379mils
    DSI_D2_P, Signal Layers Only, 487.38mils
    DSI_D3_N, Signal Layers Only, 623.795mils
    DSI_D3_P, Signal Layers Only, 623.411mils
    ENA_FLT_A, Signal Layers Only, 1605.827mils
    ENA_FLT_B, Signal Layers Only, 1073.101mils
    EN_SEQ_PL, Signal Layers Only, 1448.498mils
    FAN_PWM, Signal Layers Only, 2151.057mils
    G0_N, Signal Layers Only, 956.69mils
    G0_P, Signal Layers Only, 956.571mils
    G1_N, Signal Layers Only, 736.037mils
    G1_P, Signal Layers Only, 736.924mils
    GND, Signal Layers Only, 40534.693mils
    GND_ANA, Signal Layers Only, 538.129mils
    GND_ANA1, Signal Layers Only, 525.054mils
    GND_M1, Signal Layers Only, 400.986mils
    GND_SYSMON, Signal Layers Only, 557.26mils
    GTR_CLK0_USB_26M_N, Signal Layers Only, 2857.429mils
    GTR_CLK0_USB_26M_P, Signal Layers Only, 2856.718mils
    GTR_CLK1_DP_27M_N, Signal Layers Only, 2837.136mils
    GTR_CLK1_DP_27M_P, Signal Layers Only, 2837.641mils
    GTR_LANE0_TX_N, Signal Layers Only, 1949.229mils
    GTR_LANE0_TX_P, Signal Layers Only, 1948.537mils
    GTR_LANE1_TX_N, Signal Layers Only, 2149.281mils
    GTR_LANE1_TX_P, Signal Layers Only, 2149.687mils
    GTR_LANE2_RX_N, Signal Layers Only, 2014.308mils
    GTR_LANE2_RX_P, Signal Layers Only, 2014.596mils
    GTR_LANE2_TX_N, Signal Layers Only, 1499.414mils
    GTR_LANE2_TX_P, Signal Layers Only, 1496.283mils
    GTR_LANE3_RX_N, Signal Layers Only, 2447.708mils
    GTR_LANE3_RX_P, Signal Layers Only, 2446.686mils
    GTR_LANE3_TX_N, Signal Layers Only, 2673.925mils
    GTR_LANE3_TX_P, Signal Layers Only, 2673.925mils
    HD_GPIO_0, Signal Layers Only, 2902.528mils
    HD_GPIO_1, Signal Layers Only, 1640.047mils
    HD_GPIO_10, Signal Layers Only, 1509.384mils
    HD_GPIO_11, Signal Layers Only, 1442.938mils
    HD_GPIO_12, Signal Layers Only, 1597.907mils
    HD_GPIO_13, Signal Layers Only, 1315.447mils
    HD_GPIO_14, Signal Layers Only, 1419.323mils
    HD_GPIO_15, Signal Layers Only, 1532.39mils
    HD_GPIO_2, Signal Layers Only, 1540.951mils
    HD_GPIO_3, Signal Layers Only, 1499.21mils
    HD_GPIO_4, Signal Layers Only, 1469.192mils
    HD_GPIO_5, Signal Layers Only, 1642.755mils
    HD_GPIO_6, Signal Layers Only, 1381.185mils
    HD_GPIO_7, Signal Layers Only, 1238.668mils
    HD_GPIO_8, Signal Layers Only, 1808.012mils
